workerName,country,value,gold
623e91ce0c13e4a93d7a4f6b559f27c986783c84,France,0.0,0.0
74a2a849348de0d5b2c9660bcaec953a4a50df54,France,0.0,0.0
0fda068c2d91fc106bb78a61e5ddecc3e6b331c6,France,0.0,0.0
80102117d0202dbfd1b228142bb4f71d473f146a,France,0.0,0.0
ff945bedc27e7f7a9c3951b81052f87d9ec7cf49,France,0.0,0.0
dd46326d1fe40a552ecafadedb5203586690a5ec,France,0.0,0.0
c47787c70e4055192677d84096a9420f523ed157,France,0.0,0.0
ad802c6607b0623ae0b2c526d075fa630e12d54f,France,0.0,0.0
3d5156c639c4f5e0d297356b4bc9fd2693e7c11a,France,0.0,0.0
3ae959d2c2a8008c6ed2d5e9430ea81c51f9b688,France,0.0,0.0
dc12ef226a1e5db1ac0ac81a89a4b4713107e51a,France,0.0,0.0
3ecd8910e4d051efb9b710a20cdb22ceb90772d1,France,0.0,0.0
e8928f6f7dc11e216b60ed0aa637319dcd00ac51,France,0.0,0.0
32647d529e5861f292dd0d87b468dcc8b70f0085,France,0.0,0.0
3f899d2038d6cd9a621ba3043551042f2701433b,France,0.2,0.0
c7ee3f977325c31e7030e959347cf68adde5e419,France,0.0,0.0
e68dd2764fdfdbb5f3de472341b2b6777d035862,France,0.0,0.0
e584c7ffae00f0bfe610b3375d6f1a3ea1162377,France,0.0,0.0
3a62f9e17eddd43eef8a2a0d61487c1ddff37848,France,0.0,0.0
d94dd4df23c0ab7498235658a8654d1bc986b1f6,France,0.0,0.0
d439dda12d395a2bed4badec9a1673b4daafd8be,France,0.0,0.0
c2c871ed7cd5614842c3813c577e338719a53f51,France,0.33,0.0
286e03bba69c19b70cfd06826140500611d6647c,France,0.0,0.0
623e91ce0c13e4a93d7a4f6b559f27c986783c84,USA,0.0,0.0
74a2a849348de0d5b2c9660bcaec953a4a50df54,USA,0.0,0.0
0fda068c2d91fc106bb78a61e5ddecc3e6b331c6,USA,0.0,0.0
80102117d0202dbfd1b228142bb4f71d473f146a,USA,0.0,0.0
